Time (sec),Calculated Load (g/rev),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Boost (PSI),TD Boost Error (PSI),A/F Learning 1 (%),Dynamic Adv. (°),Ignition Timing (°),MAF (g/s),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%)
0.000,0.23,1.000,0.00,0.00,-10.60,2.43,0.78,0.00,31.00,16.08,1.98,1742,21.2,85.10
0.350,1.15,1.000,0.00,0.00,-0.50,5.65,-0.78,4.95,20.00,38.03,2.34,1801,36.9,80.00
0.679,1.23,1.000,0.00,0.00,0.03,5.19,-0.78,4.92,18.00,39.34,2.36,1891,36.9,78.82
1.009,1.28,1.000,0.00,0.00,0.49,5.55,-0.78,4.92,17.50,41.27,2.42,1976,37.6,77.65
1.346,1.33,1.000,0.00,0.00,0.96,7.14,-0.78,5.07,16.50,49.38,2.56,1974,95.7,75.69
1.685,1.43,1.000,0.00,0.00,2.06,12.04,0.00,5.48,15.00,50.15,2.52,2101,100.0,89.80
2.012,1.50,1.000,0.00,0.00,2.65,12.00,0.00,5.71,14.00,54.04,2.62,2148,100.0,87.06
2.351,1.59,1.000,0.00,0.00,3.34,11.87,0.00,5.89,14.50,59.38,2.70,2196,100.0,83.14
2.680,1.69,1.000,0.00,0.00,4.01,12.21,0.00,6.11,14.50,66.27,2.74,2260,100.0,81.18
3.010,1.82,1.000,0.00,0.00,4.91,12.36,0.00,6.37,14.50,73.83,2.82,2353,100.0,79.22
3.368,1.97,1.000,0.00,0.00,6.11,11.45,0.00,6.66,15.00,83.50,2.92,2467,100.0,75.69
3.699,2.11,1.000,0.00,0.00,7.42,10.29,0.00,6.68,13.50,93.00,3.04,2603,100.0,73.33
4.031,2.32,1.000,0.00,0.00,9.32,8.72,0.00,6.68,12.00,106.92,3.22,2719,100.0,70.98
4.401,2.59,1.000,0.00,0.00,11.79,6.08,0.00,6.68,11.50,127.06,3.40,2850,100.0,68.63
4.729,2.89,1.000,0.00,0.00,14.39,3.62,0.00,6.44,11.50,143.77,3.52,3006,100.0,69.02
5.060,3.06,1.000,0.00,0.00,15.76,2.44,0.00,6.11,12.00,155.81,3.48,3165,100.0,69.41
5.387,3.06,1.000,0.00,0.00,16.32,1.57,0.00,5.98,12.50,170.01,3.56,3284,100.0,69.80
5.727,3.07,1.000,0.00,0.00,16.54,1.37,0.00,5.98,12.50,179.40,3.68,3516,100.0,70.20
6.058,3.10,1.000,0.00,0.00,17.01,0.94,0.00,5.98,13.00,187.60,3.72,3676,100.0,70.59
6.390,3.09,1.000,0.00,0.00,17.16,0.78,0.00,5.98,13.00,198.14,3.78,3786,100.0,70.98
6.724,3.11,1.000,0.00,0.00,17.15,0.83,0.00,5.98,13.50,208.78,3.86,4013,100.0,71.37
7.061,3.17,1.000,0.00,0.00,17.44,0.56,0.00,5.98,13.50,223.02,3.92,4196,100.0,72.16
7.393,3.21,1.000,0.00,0.00,17.33,0.72,0.00,5.98,13.50,233.71,3.98,4319,100.0,72.55
7.724,3.22,1.000,0.00,0.00,17.19,0.80,0.00,5.98,13.50,243.73,4.00,4533,100.0,72.94
8.062,3.20,1.000,0.00,0.00,17.23,0.77,0.00,5.98,13.50,248.75,4.04,4707,100.0,72.94
8.394,3.16,1.000,0.00,0.00,17.06,0.88,0.00,5.98,13.50,254.10,4.06,4830,100.0,73.73
8.721,3.10,1.000,0.00,0.00,17.02,0.52,0.00,5.98,13.50,256.78,4.08,5054,100.0,73.73
9.056,3.06,1.000,0.00,0.00,16.90,0.44,0.00,5.98,13.50,260.97,4.12,5136,100.0,74.51
9.395,3.02,1.000,0.00,0.00,16.78,0.31,0.00,5.98,14.00,267.27,4.14,5248,100.0,74.51
9.723,2.99,1.000,0.00,0.00,16.59,0.20,0.00,5.98,14.50,268.95,4.14,5408,100.0,74.90
10.058,2.93,1.000,0.00,0.00,16.32,0.06,0.00,5.98,15.00,273.98,4.18,5625,100.0,74.90
10.396,2.89,1.000,0.00,0.00,16.03,-0.03,0.00,5.98,15.00,272.30,4.16,5742,100.0,75.29
10.726,2.84,1.000,0.00,0.00,15.82,-0.08,0.00,5.98,15.50,278.32,4.20,5859,100.0,75.29
11.054,2.82,1.000,0.00,0.00,15.59,0.07,0.00,5.98,15.50,281.69,4.20,6016,100.0,75.69
11.408,2.76,1.000,0.00,0.00,15.39,-0.18,0.00,5.98,16.00,279.45,4.20,6132,100.0,74.12
11.748,2.73,1.000,0.00,0.00,15.22,-0.36,0.00,5.98,16.00,285.05,4.22,6265,100.0,72.55
12.079,2.67,1.000,0.00,0.00,14.86,-0.19,0.00,5.98,16.50,279.45,4.20,6276,100.0,70.98
12.416,1.73,1.000,0.00,0.00,2.11,-17.37,0.00,2.70,14.50,43.92,2.50,6106,12.5,0.00
12.747,0.17,1.000,0.00,0.00,-10.71,0.84,-0.78,0.00,12.00,17.17,1.88,6363,12.5,0.00
13.075,0.17,1.000,0.00,0.00,-11.21,0.96,-0.78,0.00,12.00,16.78,1.88,6220,12.5,0.00
13.409,0.16,1.000,0.00,0.00,-11.40,1.06,-0.78,0.00,24.00,16.09,1.86,6200,12.5,0.00
13.741,0.16,1.000,0.00,0.00,-11.45,0.99,-0.78,0.00,24.00,16.17,1.86,6076,12.5,0.00
14.079,0.16,1.000,0.00,0.00,-11.55,0.88,-0.78,0.00,24.00,16.24,1.86,5987,12.5,0.00
14.409,0.16,1.000,0.00,0.00,-11.57,0.93,-0.78,0.00,24.00,16.32,1.86,5817,12.5,0.00
14.746,0.17,1.000,0.00,0.00,-11.63,0.93,-0.78,0.00,24.00,16.02,1.86,5759,12.5,0.00
